2019-04-05 13:23:27,546 [Worker-3: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2019-04-05 13:24:06,582 [Worker-3: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2019-04-05 13:25:13,677 [Worker-0: Creating project "jdbs.lb"] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.ius:jdbs.lb:0.0.1-SNAPSHOT @ G:\labs Java\jdbs.lb\pom.xml.
2019-04-05 13:25:16,903 [Worker-0: Creating project "jdbs.lb"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /jdbs.lb/src/main/java
2019-04-05 13:25:16,906 [Worker-0: Creating project "jdbs.lb"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /jdbs.lb/src/main/resources
2019-04-05 13:25:16,908 [Worker-0: Creating project "jdbs.lb"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /jdbs.lb/src/test/java
2019-04-05 13:25:16,909 [Worker-0: Creating project "jdbs.lb"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /jdbs.lb/src/test/resources
2019-04-05 13:25:20,972 [Worker-3: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-05 13:25:20,994 [Worker-3: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-04-05 13:25:20,998 [Worker-3: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-05 13:25:21,013 [Worker-3: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-04-05 13:25:58,635 [Worker-0: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-05 13:26:00,529 [Worker-0: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-04-05 13:26:00,532 [Worker-0: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-05 13:26:00,554 [Worker-0: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-04-05 13:26:40,664 [Worker-10: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-05 13:26:40,692 [Worker-10: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-04-05 13:26:40,694 [Worker-10: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-05 13:26:40,711 [Worker-10: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-04-05 13:26:41,737 [Worker-4: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-05 13:26:41,752 [Worker-4: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-04-05 13:26:41,754 [Worker-4: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-05 13:26:41,770 [Worker-4: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
